,date_time,user_name,text,year_month,year_month_day,hour,weekday,user_class
0,2023-07-21 11:53:35,조희,"""조희님이 들어왔습니다.운영정책을 위반한 메시지로 신고 접수 시 카카오톡 이용에 제한이 있을 수 있습니다.""
",2023-07,2023-07-21,11,Friday,Not defined
1,2023-07-21 11:53:35,오픈채팅봇,"""안녕하세요, 로마드 유료 단톡방에 오신 것을 진심으로 환영합니다.공지사항 확인 후 닉네임 변경 필히 부탁드립니다!
3일 이내로 변경 안하실 경우 강퇴 처리 됩니다.""
",2023-07,2023-07-21,11,Friday,Bot
2,2023-07-21 11:53:46,깃이-노비스,"""깃이-노비스님이 들어왔습니다.""",2023-07,2023-07-21,11,Friday,노비스
3,2023-07-21 11:53:51,엄지척 어피치,"""엄지척 어피치님이 나갔습니다.""",2023-07,2023-07-21,11,Friday,Not defined
4,2023-07-21 11:53:52,오복이언니-워드프레스수강생,"""오복이언니-워드프레스수강생님이 들어왔습니다.""",2023-07,2023-07-21,11,Friday,수강생
5,2023-07-21 11:54:38,마에-노비스,"""마에-노비스님이 들어왔습니다.""",2023-07,2023-07-21,11,Friday,노비스
6,2023-07-21 11:54:38,오픈채팅봇,"""안녕하세요, 로마드 유료 단톡방에 오신 것을 진심으로 환영합니다.공지사항 확인 후 닉네임 변경 필히 부탁드립니다!
3일 이내로 변경 안하실 경우 강퇴 처리 됩니다.""
",2023-07,2023-07-21,11,Friday,Bot
7,2023-07-21 11:55:27,플레인-노비스,"""플레인-노비스님이 들어왔습니다.""",2023-07,2023-07-21,11,Friday,노비스
8,2023-07-21 11:55:27,오픈채팅봇,"""안녕하세요, 로마드 유료 단톡방에 오신 것을 진심으로 환영합니다.공지사항 확인 후 닉네임 변경 필히 부탁드립니다!
3일 이내로 변경 안하실 경우 강퇴 처리 됩니다.""
",2023-07,2023-07-21,11,Friday,Bot
9,2023-07-21 11:55:39,순선생 - seo수강생,"""순선생 - seo수강생님이 들어왔습니다.""",2023-07,2023-07-21,11,Friday,수강생
10,2023-07-21 11:55:50,카라뜨 - 노비스,"""카라뜨 - 노비스님이 들어왔습니다.""",2023-07,2023-07-21,11,Friday,노비스
11,2023-07-21 11:55:50,오픈채팅봇,"""안녕하세요, 로마드 유료 단톡방에 오신 것을 진심으로 환영합니다.공지사항 확인 후 닉네임 변경 필히 부탁드립니다!
3일 이내로 변경 안하실 경우 강퇴 처리 됩니다.""
",2023-07,2023-07-21,11,Friday,Bot
12,2023-07-21 11:57:17,가치투자의증명-노비스,"""혹시 글 발행한 것을 구글에 제목으로 그대로 쳐도 안나오는데,, 구글링해봐도 다들 다른소리라서,,, 발행은 된 상태인데 어떻게해야 구글에 뜰까요...?""",2023-07,2023-07-21,11,Friday,노비스
13,2023-07-21 11:57:50,고라니-노비스,"""고라니-노비스님이 들어왔습니다.""",2023-07,2023-07-21,11,Friday,노비스
14,2023-07-21 11:57:50,오픈채팅봇,"""안녕하세요, 로마드 유료 단톡방에 오신 것을 진심으로 환영합니다.공지사항 확인 후 닉네임 변경 필히 부탁드립니다!
3일 이내로 변경 안하실 경우 강퇴 처리 됩니다.""
",2023-07,2023-07-21,11,Friday,Bot
15,2023-07-21 11:58:08,세나-워프 수강생,"""세나-워프 수강생님이 들어왔습니다.""",2023-07,2023-07-21,11,Friday,수강생
16,2023-07-21 11:58:38,주하담 - SEO 수강생,"""주하담 - SEO 수강생님이 들어왔습니다.""",2023-07,2023-07-21,11,Friday,수강생
